code,name,market
2461,ファンコミュニケーションズ,prime
2462,ライク,prime
2464,Ａｏｂａ‐ＢＢＴ,standard
2469,ヒビノ,standard
246A,アスア,growth
2471,エスプール,prime
2475,ＷＤＢホールディングス,prime
2477,手間いらず,standard
2479,ジェイテック,standard
247A,Ａｉロボティクス,growth
2480,システム・ロケーション,standard
2481,タウンニュース社,standard
2483,翻訳センター,standard
2484,出前館,standard
2485,ティア,standard
2488,ＪＴＰ,standard
2489,アドウェイズ,standard
248A,キッズスター,growth
2491,バリューコマース,prime
2492,インフォマート,prime
2493,イーサポートリンク,standard
2497,ユナイテッド,growth
2498,オリエンタルコンサルタンツホールディングス,standard
2499,日本和装ホールディングス,standard
2501,サッポロホールディングス,prime
2502,アサヒグループホールディングス,prime
2503,キリンホールディングス,prime
250A,シマダヤ,standard
2531,宝ホールディングス,prime
2533,オエノンホールディングス,prime
253A,ＥＴＳグループ,standard
2540,養命酒製造,prime
254A,ＡＩフュージョンキャピタルグループ,standard
255A,ジーエルテクノホールディングス,standard
256A,飛島ホールディングス,prime
2573,北海道コカ・コーラボトリング,standard
2579,コカ・コーラ　ボトラーズジャパンホールディングス,prime
2585,ライフドリンク　カンパニー,prime
2586,フルッタフルッタ,growth
2587,サントリービバレッジ＆フード,prime
2588,プレミアムウォーターホールディングス,standard
2590,ダイドーグループホールディングス,prime
2593,伊藤園,prime
25935,伊藤園第１種優先株式,prime
2594,キーコーヒー,prime
2597,ユニカフェ,standard
2602,日清オイリオグループ,prime
2607,不二製油,prime
2612,かどや製油,standard
2613,Ｊ－オイルミルズ,prime
261A,日水コン,standard
262A,インターメスティック,prime
264A,Ｓｃｈｏｏ,growth
2652,まんだらけ,standard
2653,イオン九州,standard
2654,アスモ,standard
2656,ベクターホールディングス,standard
2659,サンエー,prime
265A,Ｈｍｃｏｍｍ,growth
2664,カワチ薬品,prime
2666,オートウェーブ,standard
2667,イメージ　ワン,standard
2668,タビオ,standard
2669,カネ美食品,standard
2670,エービーシー・マート,prime
2673,夢みつけ隊,standard
2674,ハードオフコーポレーション,prime
2676,高千穂交易,prime
2678,アスクル,prime
2681,ゲオホールディングス,prime
2683,魚喜,standard
2685,アンドエスティＨＤ,prime
2686,ジーフット,standard
2687,シー・ヴイ・エス・ベイエリア,standard
2689,オルバヘルスケアホールディングス,standard
268A,リガク・ホールディングス,prime
2693,ＹＫＴ,standard
2694,焼肉坂井ホールディングス,standard
2695,くら寿司,prime
2698,キャンドゥ,standard
269A,Ｓａｐｅｅｔ,growth
2700,木徳神糧,standard
2702,日本マクドナルドホールディングス,standard
2705,大戸屋ホールディングス,standard
2708,久世,standard
2721,ジェイホールディングス,standard
2722,ＩＫホールディングス,standard
2726,パルグループホールディングス,prime
2730,エディオン,prime
2733,あらた,prime
2734,サーラコーポレーション,prime
2735,ワッツ,standard
2736,フェスタリアホールディングス,standard
2737,トーメンデバイス,prime
2742,ハローズ,prime
2747,北雄ラッキー,standard
2749,ＪＰホールディングス,prime
274A,ガーデン,standard
2750,石光商事,standard
2751,テンポスホールディングス,standard
2752,フジオフードグループ本社,prime
2753,あみやき亭,prime
2760,東京エレクトロン　デバイス,prime
2762,ＳＡＮＫＯ　ＭＡＲＫＥＴＩＮＧ　ＦＯＯＤＳ,standard
2763,エフティグループ,standard
2764,ひらまつ,standard
2767,円谷フィールズホールディングス,prime
2768,双日,prime
2769,ヴィレッジヴァンガードコーポレーション,standard
276A,ククレブ・アドバイザーズ,growth
2776,新都ホールディングス,standard
2778,パレモ・ホールディングス,standard
277A,グロービング,prime
2780,コメ兵ホールディングス,standard
2782,セリア,standard
2784,アルフレッサ　ホールディングス,prime
2788,アップルインターナショナル,standard
2789,カルラ,standard
278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,growth
2790,ナフコ,standard
2791,大黒天物産,prime
2792,ハニーズホールディングス,prime
2795,日本プリメックス,standard
2796,ファーマライズホールディングス,standard
2798,ワイズテーブルコーポレーション,standard
2801,キッコーマン,prime
2802,味の素,prime
2804,ブルドックソース,prime
2805,ヱスビー食品,standard
2806,ユタカフーズ,standard
2809,キユーピー,prime
280A,ＴＭＨ,growth
2810,ハウス食品グループ本社,prime
2811,カゴメ,prime
2813,和弘食品,standard
2814,佐藤食品工業,standard
2815,アリアケジャパン,prime
2816,ダイショー,standard
2818,ピエトロ,standard
2819,エバラ食品工業,standard
281A,インフォメティス,growth
2820,やまみ,standard
2831,はごろもフーズ,standard
285A,キオクシアホールディングス,prime
286A,ユカリア,growth
2871,ニチレイ,prime
2872,セイヒョー,standard
2874,横浜冷凍,prime
2875,東洋水産,prime
2876,デルソーレ,standard
2877,日東ベスト,standard
287A,黒田グループ,standard
2882,イートアンドホールディングス,prime
2883,大冷,standard
2884,ヨシムラ・フード・ホールディングス,prime
288A,ラクサス・テクノロジーズ,growth
2892,日本食品化工,standard
2894,石井食品,standard
2897,日清食品ホールディングス,prime
2901,ウェルディッシュ,standard
2903,シノブフーズ,standard
2904,一正蒲鉾,standard
2907,あじかん,standard
2908,フジッコ,prime
290A,Ｓｙｎｓｐｅｃｔｉｖｅ,growth
2910,ロック・フィールド,prime
2911,旭松食品,standard
2914,日本たばこ産業,prime
2915,ケンコーマヨネーズ,prime
2916,仙波糖化工業,standard
2917,大森屋,standard
2918,わらべや日洋ホールディングス,prime
291A,リスキル,growth
2922,なとり,prime
2923,サトウ食品,standard
2924,イフジ産業,standard
2926,篠崎屋,standard
2927,ＡＦＣ－ＨＤアムスライフサイエンス,standard
2929,ファーマフーズ,prime
2930,北の達人コーポレーション,prime
2931,ユーグレナ,prime
2932,ＳＴＩフードホールディングス,standard
2933,紀文食品,prime
2934,ジェイフロンティア,growth
2935,ピックルスホールディングス,prime
2936,ベースフード,growth
2937,サンクゼール,growth
2938,オカムラ食品工業,standard
